countystate_name,population,median_household_income,people_below_poverty,employed_population,unemployed_population,bachelors_degree,median_home_value,state,county,poverty_rate,employment_rate,unemployment_rate,education_rate
"Autauga County, Alabama",59285.0,69841.0,6275.0,27070.0,688.0,6518.0,197900.0,1,1,10.584464873070761,97.52143526190648,2.4785647380935227,10.994349329509994
"Baldwin County, Alabama",239945.0,75019.0,24819.0,113171.0,3615.0,35348.0,287000.0,1,3,10.343620413011315,96.90459472882024,3.095405271179765,14.731709350059388
"Barbour County, Alabama",24757.0,44290.0,4746.0,9074.0,518.0,1179.0,109900.0,1,5,19.17033566264087,94.59966638865721,5.400333611342786,4.762289453487902
"Bibb County, Alabama",22152.0,51215.0,4258.0,9375.0,936.0,1121.0,132600.0,1,7,19.22174070061394,90.92231597323247,9.07768402676753,5.060491152040448
"Blount County, Alabama",59292.0,61096.0,8269.0,27180.0,1586.0,4088.0,169700.0,1,9,13.946232206705794,94.4865466175346,5.513453382465411,6.894690683397423
"Bullock County, Alabama",10157.0,36723.0,2344.0,3848.0,226.0,493.0,79400.0,1,11,23.077680417446096,94.45262641138929,5.547373588610702,4.853795412031111
"Butler County, Alabama",18807.0,44881.0,3881.0,8026.0,545.0,1046.0,99700.0,1,13,20.635933429042378,93.64134873410337,6.358651265896628,5.561758919551231
"Calhoun County, Alabama",116141.0,55826.0,19558.0,52221.0,3362.0,9842.0,149500.0,1,15,16.83987566836862,93.95138801432093,6.0486119856790745,8.474182243996522
"Chambers County, Alabama",34450.0,49295.0,5214.0,15297.0,759.0,2386.0,129700.0,1,17,15.134978229317852,95.2727952167414,4.727204783258595,6.925979680696662
"Cherokee County, Alabama",25224.0,50769.0,3606.0,10758.0,370.0,1726.0,165900.0,1,19,14.295908658420553,96.67505391804457,3.324946081955428,6.842689502061529
"Chilton County, Alabama",45500.0,61873.0,6111.0,19943.0,1076.0,2858.0,142300.0,1,21,13.43076923076923,94.88082211332603,5.1191778866739615,6.281318681318682
"Choctaw County, Alabama",12525.0,44483.0,2413.0,4816.0,265.0,891.0,111800.0,1,23,19.265469061876246,94.78449124188153,5.215508758118481,7.11377245508982
"Clarke County, Alabama",22802.0,49167.0,4607.0,9256.0,1218.0,1545.0,126400.0,1,25,20.204368037891413,88.37120488829483,11.628795111705175,6.775721427944917
"Clay County, Alabama",14188.0,51852.0,2295.0,5657.0,197.0,1154.0,144700.0,1,27,16.17564138708768,96.63477963785446,3.3652203621455414,8.133634056949536
"Cleburne County, Alabama",15254.0,53319.0,1984.0,6018.0,93.0,1201.0,144200.0,1,29,13.006424544381801,98.47815414825725,1.5218458517427589,7.873344696473056
"Coffee County, Alabama",54231.0,64672.0,9409.0,22983.0,999.0,4497.0,180300.0,1,31,17.349855248842914,95.83437578183637,4.165624218163623,8.292305139127068
"Colbert County, Alabama",57648.0,56736.0,9626.0,26965.0,884.0,5274.0,161600.0,1,33,16.69789064668332,96.82573880570217,3.1742611942978205,9.148626144879266
"Conecuh County, Alabama",11411.0,42266.0,3125.0,3822.0,316.0,565.0,101300.0,1,35,27.38585575322058,92.36346060898984,7.63653939101015,4.9513627201822805
"Coosa County, Alabama",10323.0,57063.0,1161.0,4115.0,208.0,815.0,111800.0,1,37,11.246730601569311,95.18852648623641,4.81147351376359,7.894991765959508
"Covington County, Alabama",37647.0,50886.0,6681.0,15841.0,723.0,2596.0,142500.0,1,39,17.746433978803093,95.63511229171698,4.364887708283023,6.895635774430897
"Crenshaw County, Alabama",13144.0,49040.0,2081.0,5445.0,265.0,1046.0,108400.0,1,41,15.832318928788801,95.35901926444834,4.640980735551663,7.958003651856361
"Cullman County, Alabama",89463.0,60916.0,12299.0,41633.0,1739.0,7754.0,180500.0,1,43,13.747582799593127,95.99050078391589,4.00949921608411,8.66727026815555
"Dale County, Alabama",49516.0,53955.0,9078.0,19110.0,1299.0,4370.0,129100.0,1,45,18.33346796994911,93.6351609584007,6.364839041599295,8.825430163987399
"Dallas County, Alabama",37536.0,36810.0,10748.0,15567.0,1699.0,2868.0,97400.0,1,47,28.633844842284738,90.15985173172709,9.840148268272907,7.640664961636828
"DeKalb County, Alabama",71946.0,51149.0,14405.0,31994.0,1359.0,4115.0,135500.0,1,49,20.021960915130794,95.92540401163315,4.074595988366863,5.719567453367803
"Elmore County, Alabama",88669.0,75553.0,8652.0,41141.0,1607.0,9976.0,213600.0,1,51,9.757637956895872,96.24075980162814,3.7592401983718533,11.250831745029267
"Escambia County, Alabama",36695.0,44447.0,7238.0,14357.0,1313.0,2080.0,122700.0,1,53,19.724758141436162,91.62093171665603,8.379068283343969,5.668347186265159
"Etowah County, Alabama",103208.0,53070.0,17401.0,46145.0,2911.0,7698.0,160600.0,1,55,16.860127121928535,94.06596542726679,5.934034572733203,7.45872412991241
"Fayette County, Alabama",16173.0,50733.0,2967.0,6839.0,648.0,1107.0,121200.0,1,57,18.3453904655908,91.34499799652731,8.655002003472687,6.844741235392321
"Franklin County, Alabama",31978.0,51493.0,5476.0,13927.0,501.0,2036.0,128000.0,1,59,17.12427293764463,96.52758525090103,3.472414749098974,6.366877228094314
