County/State Name,Population,Median_Household_Income,People_Below_Poverty,Employed_Population,Unemployed_Population,Bachelors_Degree,Median_Home_Value,state,county,Poverty_Rate,Employment_Rate,Unemployment_Rate,Education_Rate
"Autauga County, Alabama",59285,69841,6275,27070,688,6518,197900,01,001,10.584464873070761,97.52143526190648,2.4785647380935227,10.994349329509994
"Baldwin County, Alabama",239945,75019,24819,113171,3615,35348,287000,01,003,10.343620413011315,96.90459472882024,3.095405271179765,14.731709350059388
"Barbour County, Alabama",24757,44290,4746,9074,518,1179,109900,01,005,19.17033566264087,94.59966638865721,5.400333611342786,4.762289453487902
"Bibb County, Alabama",22152,51215,4258,9375,936,1121,132600,01,007,19.22174070061394,90.92231597323247,9.07768402676753,5.060491152040448
"Blount County, Alabama",59292,61096,8269,27180,1586,4088,169700,01,009,13.946232206705794,94.4865466175346,5.513453382465411,6.894690683397423
"Bullock County, Alabama",10157,36723,2344,3848,226,493,79400,01,011,23.077680417446096,94.45262641138929,5.547373588610702,4.853795412031111
"Butler County, Alabama",18807,44881,3881,8026,545,1046,99700,01,013,20.635933429042378,93.64134873410337,6.358651265896628,5.561758919551231
"Calhoun County, Alabama",116141,55826,19558,52221,3362,9842,149500,01,015,16.83987566836862,93.95138801432093,6.0486119856790745,8.474182243996522
"Chambers County, Alabama",34450,49295,5214,15297,759,2386,129700,01,017,15.134978229317852,95.2727952167414,4.727204783258595,6.925979680696662
"Cherokee County, Alabama",25224,50769,3606,10758,370,1726,165900,01,019,14.295908658420553,96.67505391804457,3.324946081955428,6.842689502061529
"Chilton County, Alabama",45500,61873,6111,19943,1076,2858,142300,01,021,13.43076923076923,94.88082211332603,5.1191778866739615,6.281318681318682
"Choctaw County, Alabama",12525,44483,2413,4816,265,891,111800,01,023,19.265469061876246,94.78449124188153,5.215508758118481,7.11377245508982
"Clarke County, Alabama",22802,49167,4607,9256,1218,1545,126400,01,025,20.204368037891413,88.37120488829483,11.628795111705175,6.775721427944917
"Clay County, Alabama",14188,51852,2295,5657,197,1154,144700,01,027,16.17564138708768,96.63477963785446,3.3652203621455414,8.133634056949536
"Cleburne County, Alabama",15254,53319,1984,6018,93,1201,144200,01,029,13.006424544381801,98.47815414825725,1.5218458517427589,7.873344696473056
"Coffee County, Alabama",54231,64672,9409,22983,999,4497,180300,01,031,17.349855248842914,95.83437578183637,4.165624218163623,8.292305139127068
"Colbert County, Alabama",57648,56736,9626,26965,884,5274,161600,01,033,16.69789064668332,96.82573880570217,3.1742611942978205,9.148626144879266
"Conecuh County, Alabama",11411,42266,3125,3822,316,565,101300,01,035,27.38585575322058,92.36346060898984,7.63653939101015,4.9513627201822805
"Coosa County, Alabama",10323,57063,1161,4115,208,815,111800,01,037,11.246730601569311,95.18852648623641,4.81147351376359,7.894991765959508
"Covington County, Alabama",37647,50886,6681,15841,723,2596,142500,01,039,17.746433978803093,95.63511229171698,4.364887708283023,6.895635774430897
"Crenshaw County, Alabama",13144,49040,2081,5445,265,1046,108400,01,041,15.832318928788801,95.35901926444834,4.640980735551663,7.958003651856361
"Cullman County, Alabama",89463,60916,12299,41633,1739,7754,180500,01,043,13.747582799593127,95.99050078391589,4.00949921608411,8.66727026815555
